action,service,operation_type,risk_level,risk_weight,reason
glue:GetTags,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:PutLogGroupDeletionProtection,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:DescribeDaemonTaskDefinition,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:UpdateVpcEndpoint,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:ListBucket,s3,READ,LOW,2,Read/list access to S3 bucket metadata; generally low inherent risk.
ec2:ProvisionByoipCidr,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetResourcePolicy,Glue,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:CreateRouteTable,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListRolePolicies,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVpcEndpointConnectionNotification,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:BatchModifyClusterSnapshots,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
eks:ListAccessPolicies,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:DeleteVPCAssociationAuthorization,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cloudformation:DescribeResourceScan,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeDBRecommendations,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetUnfilteredPartitionMetadata,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DescribeSnapshotSchedules,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:TagPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:UpdateMLTransform,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyCapacityReservationFleet,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:PutObjectLegalHold,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:DeleteApplication,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:AddTags,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:DescribeInsightDetails,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeInferenceComponent,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
firehose:DeleteDeliveryStream,Kinesis Firehose,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ssm:DeregisterTaskFromMaintenanceWindow,Systems Manager,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:DeleteArtifact,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:CopyDBParameterGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
comprehend:ListEntityRecognizers,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetUserDefinedFunction,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:DeleteTrustedEntitySet,GuardDuty,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:ListTypes,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateUsageProfile,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:AcceptTransitGatewayPeeringAttachment,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
autoscaling:SetInstanceProtection,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:GetTokensFromRefreshToken,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListHyperParameterTuningJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:DeriveSharedSecret,KMS,OTHER,MEDIUM,5,Project-defined review required for this operation.
autoscaling:UpdateAutoScalingGroup,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:BatchGetQueryExecution,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:UnlockSnapshot,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:DeleteIntegration,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:UpdateAccountPasswordPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DescribeUserProfile,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisassociateTransitGatewayRouteTable,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
s3:CreateMultipartUpload,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:StartInstanceRefresh,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DisableImageDeregistrationProtection,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:AssociateAddress,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:DeleteAccountSetting,ECS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sns:ConfirmSubscription,SNS,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:QuerySchemaVersionMetadata,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateClusterSchedulerConfig,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetVpcResourcesBlockingEncryptionEnforcement,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:PutRoutingRule,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeFleetInstances,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:GetAutomatedReasoningPolicyTestResult,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:ModifyIpamPool,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:PutBucketEncryption,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
eks:DescribeInsightsRefresh,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:GetMarketplaceModelEndpoint,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeRouteServerEndpoints,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVpcEncryptionControl,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DeleteAIRecommendationJob,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:DeleteGlobalCluster,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:BundleInstance,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
cognito-idp:SetUserSettings,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:DeletePolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:DescribeClusterSecurityGroups,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeParameters,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListSSHPublicKeys,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteScheduledQuery,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DeleteTransitGatewayRouteTable,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
redshift:DescribeClusterDbRevisions,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVolumeAttribute,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:PutRegistryPolicy,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
iam:AddRoleToInstanceProfile,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListFlowDefinitions,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:SetAlarmState,CloudWatch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:UpdateFunctionCode,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DisableVpcClassicLinkDnsSupport,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
lambda:GetProvisionedConcurrencyConfig,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:CreateIntegrationTableProperties,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:GetAuthorizer,API Gateway V2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
kms:GenerateRandom,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
ec2:GetAwsNetworkPerformanceData,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:ListSchemaVersions,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisableImageBlockPublicAccess,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
athena:DeleteNamedQuery,Athena,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
dynamodb:DisableKinesisStreamingDestination,DynamoDB,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
autoscaling:TerminateInstanceInAutoScalingGroup,Auto Scaling,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:ListApplications,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:ModifyDBSnapshot,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DeregisterPatchBaselineForPatchGroup,Systems Manager,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DeleteNetworkInsightsAccessScopeAnalysis,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:StartDeclarativePoliciesReport,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:DeleteFunction,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:GetApiKeys,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:GetLogDeliveryConfiguration,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:DeregisterMarketplaceModelEndpoint,Bedrock,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:DescribeCodeRepository,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DeauthorizeDataShare,Redshift,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
iam:EnableOrganizationsRootCredentialsManagement,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:UnlabelParameterVersion,Systems Manager,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DeleteVpnConnection,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:ListMLTransforms,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateBlueprint,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:GetEventConfiguration,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:RejectTransitGatewayPeeringAttachment,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudtrail:DeleteChannel,CloudTrail,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecr:DeleteRepositoryPolicy,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
rds:PromoteReadReplicaDBCluster,RDS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:AcceptCapacityReservationBillingOwnership,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
rds:DisableHttpEndpoint,RDS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
events:UpdateApiDestination,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:SendDurableExecutionCallbackSuccess,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:ListAutomatedReasoningPolicyBuildWorkflows,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
logs:PutSubscriptionFilter,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:DisableKeyRotation,KMS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
apigatewayv2:DeleteRoutingRule,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListHubContents,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:PutMetricFilter,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:DisableKey,KMS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ecs:DescribeTasks,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:CreatePatchBaseline,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:UpdateStage,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:ListStackInstanceResourceDrifts,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:FailoverDBCluster,RDS,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigateway:DeleteGatewayResponse,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:PutBucketVersioning,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeIpv6Pools,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:StartWebAuthnRegistration,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBProxyEndpoints,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UntagRole,IAM,TAGGING,LOW,3,Changes resource tags or metadata.
sagemaker:UpdateInferenceComponentRuntimeConfig,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyLocalGatewayRoute,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sns:DeletePlatformApplication,SNS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:CreateInferenceProfile,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:AssociateSecurityGroupVpc,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyVpcBlockPublicAccessOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:StartMaterializedViewRefreshTaskRun,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:CreateChangeSet,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DeleteModelQualityJobDefinition,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DetachVerifiedAccessTrustProvider,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
apigatewayv2:GetPortalProductSharingPolicy,API Gateway V2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
guardduty:GetOrganizationStatistics,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:PutAnomalyDetector,CloudWatch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:SetLogDeliveryConfiguration,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetDeclarativePoliciesReportSummary,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:CreateResourceServer,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:CreateExpressGatewayService,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:ResetAuthorizersCache,API Gateway V2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
events:CreatePartnerEventSource,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateWorkteam,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:GetPolicy,Lambda,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:DescribeNodeConfigurationOptions,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:UpdateSecurityGroupRuleDescriptionsIngress,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateCluster,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:GetAccountSetting,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:UpdatePrimaryRegion,KMS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:DeleteService,ECS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateTrialComponent,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:ModifyCertificates,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:DeleteIntegrationResourceProperty,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:GetJobs,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:DeleteAccessLogSettings,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
guardduty:AcceptInvitation,GuardDuty,OTHER,MEDIUM,5,Project-defined review required for this operation.
iam:ListRoles,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:StartAutomatedReasoningPolicyBuildWorkflow,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
